date,distance,liters,price_per_liter
2017-11-15,512,42.005,5.85
2017-11-30,612,44.639,5.95
2017-12-25,700,44.493,6.01
2018-01-23,648.4,44.335,6.06
2018-02-27,682.2,44.848,6.15
2018-03-28,671.8,44.588,6.05
2018-04-27,714.5,45.051,6.22
2018-05-14,826.7,46.738,6.35
2018-06-14,819.3,50.716,6.6
2018-07-21,742.4,44.57,6.38
2018-08-19,800,46.297,6.45
2018-09-05,898,48.768,6.47
2018-09-17,973.5,47.742,6.4
2018-10-15,815.6,47.5,6.47
2018-11-21,760,46.348,6.36
2018-12-17,777.7,47.144,5.89
2019-01-20,708.1,46.196,5.71
2019-02-25,702.3,46.297,5.79
2019-03-18,754.4,44.494,6.00
2019-04-01,805.3,44.906,6.20
2019-04-28,786.1,47.9,6.20
2019-06-02,734.1,49.563,6.25
2019-07-01,748.6,46.544,6.13
2019-07-29,738.3,46.626,6.13
2019-09-01,787.5,48.261,6.00
2019-09-22,736.9,44.22,5.95
2019-10-15,750.2,46.407,6.06
2019-11-09,741.4,45.224,6.00
2019-12-07,742.3,45.129,6.04
2020-01-03,715,44.455,6.00
2020-01-29,698.4,44.78,6.00
2020-02-26,717.6,45.986,5.85
2020-04-20,560,35.387,4.85
2020-05-31,535.7,32.341,4.75
2020-06-30,470,29.873,5.17
2020-09-17,760.8,49.444,5.46
2020-11-30,579.5,37.706,5.30
2020-12-31,604,38.244,5.39
2021-03-18,613.5,42.294,5.94
2021-04-18,755.3,45.01170569,5.98
2021-05-26,721.4,45.54785479,6.06
2021-06-30,625,39.678,6.07
2021-07-31,518.2,33.316,6.25
2021-09-03,751.5,46.453,6.25
2021-10-09,710.5,47.254,6.33
2021-10-31,481,29.254,6.33
2021-12-11,742.4,47.663,6.32
2022-01-22,664.8,43.652,6.37
2022-02-27,589.8,39.592,6.59
2022-04-06,642.2,43.472,7.32
2022-05-21,679.5,47.84005764,6.94
2022-06-28,565.3,40.222,7.63
2022-08-21,651.7,48.37442219,6.49
2022-09-08,833.7,50.21,6.28
2022-10-08,788.2,46.879,6.33
2022-10-30,765.6,45.589,6.28002369
2022-11-23,764.6,45.145,6.37
2022-12-31,747.9,47.511,6.76
2023-02-15,669.3,48.111,6.75
2023-04-02,643.2,47.822,6.72
2023-05-30,646.7,47.879,6.72
2023-07-08,666,44.847,6.85
2023-08-21,598.3,36.178,6.77
2023-10-10,675.4,47.124,6.86
2023-10-24,966.6,48.967,6.86
2023-11-02,935.9,48.002,6.86
2023-11-11,861.7,45.311,6.86
2023-11-19,883.2,45.01,6.86
2023-11-28,854.2,45.426,6.86
2023-12-06,935.8,45.336,6.94
2023-12-14,860.5,46.092,6.94
2023-12-25,883.6,45.219,6.86
2024-01-02,866.2,45.899,7.22
2024-01-10,871.8,45.449,7.22
2024-01-20,838,47.164,7.14
2024-01-29,916.6,46.146,7.22
2024-02-20,674.7,46.738,7.30
2024-03-29,577.8,44.993,7.43
2024-05-24,856.7,49.971,7.82
2024-06-21,754.3,48.841,7.44
2024-07-20,712.2,43.921,7.55993716
2024-08-06,571.2,44.954,7.40
2024-09-08,544.2,40.309,7.29
2024-09-15,774.9,44.949,7.29
2024-09-21,747.9,45.384,7.18
2024-10-30,567,44.722,7.05
2024-11-16,750.6,44.401,7.09
2024-12-28,579.9,45.066,7.01
2025-01-15,804.6,43.947,7.20
2025-01-23,902.9,46.167,7.20
2025-02-01,869,51.025,7.09
2025-02-15,872,47.815,7.20
2025-02-23,814.3,46.21,7.31
2025-03-03,721.1,42.737,7.07
2025-03-11,840.2,41.355,7.23
2025-03-18,773.9,41.355,7.23
2025-03-25,752.6,41.35546335,7.23
2025-04-05,832.4,45.782,7.20
2025-04-19,885.7,50.443,7.20
2025-05-26,536,49.69,7.02
2025-06-27,688.9,49.733,7.03
2025-08-02,585.5,46.254,6.96
2025-09-10,592.8,47.706,7.06
2025-10-14,653,46.512,7.13
2025-10-21,860.4,45.63,7.23
2025-10-29,767.8,44.425,7.23
2025-11-05,769.4,44.711,7.07
2025-11-14,824,49.427,6.97
